"RESULTID","RACEID","DRIVERID","GRID","POSITIONTEXT","POINTS","LAPS","TIME","FASTESTLAP","FASTESTLAPSPEED"
164,25,3,19,"16",0,69,"",38,202.776
165,25,7,14,"17",0,69,"",28,203.022
166,25,21,17,"18",0,69,"",53,202.141
167,25,16,18,"19",0,69,"",41,202.385
168,25,18,16,"R",0,16,"",15,196.345
169,26,1,4,"1",10,60,"39:09.4",16,199.398
170,26,2,5,"2",8,60,"+1:08.577",21,199.609
171,26,22,16,"3",6,60,"+1:22.273",21,198.183
172,26,8,3,"4",5,59,"",18,200.842
173,26,5,1,"5",4,59,"",17,198.728
174,26,4,6,"6",3,59,"",17,198.722
175,26,15,14,"7",2,59,"",22,197.292
176,26,6,15,"8",1,59,"",21,196.31
177,26,3,20,"9",0,59,"",21,195.234
178,26,17,2,"10",0,59,"",17,199.109
179,26,7,13,"11",0,59,"",21,198.224
180,26,10,12,"12",0,59,"",19,195.619
181,26,13,9,"13",0,58,"",19,198.458
182,26,9,10,"R",0,39,"",22,197.859
183,26,18,17,"R",0,38,"",21,198.205
184,26,12,7,"R",0,35,"",21,198.573
185,26,21,19,"R",0,16,"",21,194.96
186,26,16,18,"R",0,10,"",5,188.545
187,26,20,8,"R",0,0,"",,
188,26,14,11,"R",0,0,"",,
189,27,1,1,"1",10,67,"31:20.9",17,216.552
190,27,12,17,"2",8,67,"5.586",66,214.099
191,27,13,2,"3",6,67,"9.339",19,215.241
192,27,2,12,"4",5,67,"9.825",52,216.7
193,27,5,3,"5",4,67,"12.411",63,215.261
194,27,8,6,"6",3,67,"14.403",66,215.692
195,27,9,7,"7",2,67,"22.682",17,214.937
196,27,20,9,"8",1,67,"33.299",20,214.484
197,27,15,4,"9",0,67,"37.158",17,213.785
198,27,3,13,"10",0,67,"37.625",34,212.799
199,27,4,5,"11",0,67,"38.6",17,213.53
200,27,7,15,"12",0,67,"39.111",63,213.935
201,27,14,10,"13",0,67,"54.971",18,213.866
